,interval,count
0,"(0, 100)",3971
1,"(100, 200)",272
2,"(200, 300)",106
3,"(300, 400)",52
4,"(400, 500)",37
5,"(500, 600)",40
6,"(600, 700)",14
7,"(700, 800)",10
8,"(800, 900)",8
9,"(900, 1000)",18
10,"(1000, 1100)",12
11,"(1100, 1200)",4
12,"(1200, 1300)",5
13,"(1300, 1400)",2
14,"(1400, 1500)",1
15,"(1500, 1600)",4
16,"(1600, 1700)",7
17,"(1700, 1800)",4
18,"(1800, 1900)",2
19,"(1900, 2000)",5
20,"(2000, 2100)",1
21,"(2100, 2200)",2
22,"(2200, 2300)",0
23,"(2300, 2400)",1
24,"(2400, 2500)",1
25,"(2500, 2600)",1
26,"(2600, 2700)",0
27,"(2700, 2800)",1
28,"(2800, 2900)",2
29,"(2900, 3000)",3
30,"(3000, 3100)",2
31,"(3100, 3200)",2
32,"(3200, 3300)",1
33,"(3300, 3400)",1
34,"(3400, 3500)",0
35,"(3500, 3600)",1
36,"(3600, 3700)",0
37,"(3700, 3800)",0
38,"(3800, 3900)",0
39,"(3900, 4000)",4
40,"(4000, 4100)",4
41,"(4100, 4200)",0
42,"(4200, 4300)",1
43,"(4300, 4400)",0
44,"(4400, 4500)",1
45,"(4500, 4600)",1
46,"(4600, 4700)",1
47,"(4700, 4800)",1
48,"(4800, 4900)",1
49,"(4900, 5000)",5
